,Unnamed: 0,Mandatory FEMP Standby Power Requirement,Declared Standby Power,Product Category,Company Name - Brand Name,Model Name,Model Number,Additional Model Information,UNSPSC Code,ENAC Code,Wake on LAN (WOL) Status as Shipped (Workstations Only),Notes
100,44,Non-compliant,3.1 W or greater,Computer - Workstation,"Super Micro Computer, Inc. - Super Micro",SYS-531A-I,735D4-S12X13,,43211515,LF,Shipped Disabled,
101,47,Non-compliant,3.1 W or greater,Computer - Workstation,"Ace Technology Partners, LLC - Ace",Ace Vision,LC-F3XS2,,43211515,LF,Shipped Disabled,
102,48,Non-compliant,3.1 W or greater,Computer - Workstation,"Ace Technology Partners, LLC - Ace",Ace Vision,LC-X3XS1,,43211515,LF,Shipped Disabled,
103,50,Non-compliant,3.1 W or greater,Computer - Workstation,Transource Computers - Transource,Thunderbird Extreme I,Tbird-X1,,43211515,LF,Shipped Enabled Under All Conditions,
104,59,Non-compliant,3.1 W or greater,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P720,30BA,"ThinkStation P720,30BB,; ThinkStation P720,30BU,",43211515,LF,Shipped Enabled Under All Conditions,
105,60,Non-compliant,3.1 W or greater,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation PX,30EU,"ThinkStation PX,30EV,; ThinkStation PX,30EW,; ThinkStation PX,30EY,; ThinkStation PX,30F0,; ThinkStation PX,30F1,",43211515,LF,Shipped Disabled,
106,61,Non-compliant,3.1 W or greater,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P5,30G9,"ThinkStation P5,30GA,; ThinkStation P5,30GB,; ThinkStation P5,30GC,; ThinkStation P5,30GD,; ThinkStation P5,30GE,; ThinkStation P5,30GF,; ThinkStation P5,30GG,",43211515,LF,Shipped Disabled,
107,62,Non-compliant,3.1 W or greater,Computer - Workstation,"Super Micro Computer, Inc. - Supermicro",AS -5014A-TT,AS -5014A-TT,"GS7A-20,GS7A-20,; GS7A-S20M12,GS7A-S20M12,",43211515,LF,Shipped Enabled When Operating on Ac Power Only,
108,63,Non-compliant,3.1 W or greater,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P920,30BV,"ThinkStation P920,30BC,; ThinkStation P920,30BD,",43211515,LF,Shipped Enabled Under All Conditions,
109,64,Non-compliant,3.1 W or greater,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P520,30DC,"ThinkStation P520,30BE,; ThinkStation P520,30BF,; ThinkStation P520,30BQ,",43211515,LF,Shipped Enabled Under All Conditions,
110,66,Non-compliant,3.1 W or greater,Computer - Workstation,Hypertechnologie Ciara Inc. - CIARA,Kronos 54#,Kronos 54#,,43211515,LF,,
111,68,Non-compliant,3.1 W or greater,Computer - Workstation,Lenovo Group Limited - Lenovo,ThinkStation P7,30F2,"ThinkStation P7,30F3,; ThinkStation P7,30F4,; ThinkStation P7,30F5,; ThinkStation P7,30F6,; ThinkStation P7,30F7,",43211515,LF,Shipped Disabled,
112,72,Non-compliant,3.1 W or greater,Computer - Workstation,"Super Micro Computer, Inc. - Supermicro",workstation,5039A-I,,43211515,LF,,
113,84,Non-compliant,3.1 W or greater,Computer - Workstation,ASUSTeK Computer Inc. - ASUS,Pro E800 G4 Series,Pro E800 G4,,43211515,LF,Shipped Enabled Under All Conditions,
114,100,Non-compliant,3.1 W or greater,Computer - Workstation,ASUSTeK Computer Inc. - ASUS,ESC700 G4 Series,ESC700 G4,"ESC700 G4 Series,E700 G4,; ESC700 G4 Series,E700GX G4 SE,; ESC700 G4 Series,E700X G4,; ESC700 G4 Series,ESC700X G4 SE,; ESC700 G4 Series,ESC700X G4,; ESC700 G4 Series,WS880T,; ESC700 G4 Series,WS880TX SE,; ESC700 G4 Series,WS880TX,",43211515,LF,Shipped Disabled,
115,102,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z6 G4 Workstation ENERGY STAR,Z6 G4,,43211515,LF,Shipped Enabled Under All Conditions,WOL disabled standby power: 3.8
116,103,Compliant,0 to 1 W,Computer - Workstation,HP Inc. - HP,HP Z8 G4 Workstation ENERGY STAR,Z8 G4,,43211515,LF,Shipped Enabled Under All Conditions,WOL disabled standby power: 5.7
117,106,Non-compliant,3.1 W or greater,Computer - Workstation,ASUSTeK Computer Inc. - ASUS,E900 G4 Series,E900 G4,,43211515,LF,Shipped Enabled Under All Conditions,
118,0,Compliant,0 to 1 W,Audio Video Equipment - Audio Amplifier - Full Spectrum,Extron Electronics - Extron,XPA U 3502,XPA U 3502,,52161547,KJ,,
119,1,Compliant,0 to 1 W,Audio Video Equipment - Audio Amplifier - Full Spectrum,Extron Electronics - Extron,SB 33 A 82-90,SB 33 A 82-90,,52161547,KJ,,
120,2,Compliant,0 to 1 W,Audio Video Equipment - Audio Amplifier - Full Spectrum,Extron Electronics - Extron,SB 33 A 90-100,SB 33 A 90-100,,52161547,KJ,,
121,3,Compliant,0 to 1 W,Audio Video Equipment - Audio Amplifier - Full Spectrum,Extron Electronics - EXTRON ELECTRONICS,XPA U 358,XPA U 358,,52161547,KJ,,
