,Mandatory FEMP Standby Power Requirement,Declared Standby Power,Product Category,Company Name - Brand Name,Model Name,Model Number,Additional Model Information,UNSPSC Code,ENAC Code,Wake on LAN (WOL) Status as Shipped (Workstations Only),Notes
0,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,TPC-I041-TC,HP t638 Thin Client,,43211506,LF,,
1,Compliant,0 to 1 W,Computer - Thin Client,"Fujian Centerm Information Co., Ltd. - ALTOS",T420,T420,,43211506,LF,,
2,Compliant,0 to 1 W,Computer - Thin Client,Altos Computing Incorporated - ALTOS,T415,T415,,43211506,LF,,
3,Compliant,0 to 1 W,Computer - Thin Client,"Fujian Centerm Information Co., Ltd. - CENTERM",F610,F610,",,All models are identical to each other except for model designation.; C92,C92,",43211506,LF,,
4,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-M350C,UD3,"IGEL-M350C,UD3-LX,",43211506,LF,,
5,Compliant,0 to 1 W,Computer - Thin Client,VXL Instruments Ltd. - VXL,Thin Client,Itona TC6800,,43211506,LF,,
6,Compliant,0 to 1 W,Computer - Thin Client,Lenovo Group Limited - Lenovo,ThinkCentre M90n-1,11AH,"ThinkCentre M90n-1,11AJ,; ThinkCentre M90n-1,11AK,; ThinkCentre M90n-1,11AL,; ThinkCentre M90n-1,11AM,; ThinkCentre M90n-1,11AS,",43211506,LF,,
7,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,HP t240Thin Client,TPC-HC01-TC,,43211506,LF,,
8,Compliant,0 to 1 W,Computer - Thin Client,IGEL Technology GmbH - IGEL,IGEL-M250C,UD2,"IGEL-M250C,UD2-LX,; IGEL-M250C,UD2-W10,",43211506,LF,,
9,Compliant,0 to 1 W,Computer - Thin Client,Fujitsu Technology Solutions GmbH - Fujitsu,FUTRO Q940,FUTRO Q940,"FUTRO S940,FUTRO S940,",43211506,LF,,
10,Compliant,0 to 1 W,Computer - Thin Client,HP Inc. - HP,TPC-I020-TC,HP t630 Thin Client,,43211506,LF,,
11,Compliant,0 to 1 W,Computer - Thin Client,"Fujian Centerm Information Co., Ltd. - CENTERM",D610,D610,,43211506,LF,,
12,Compliant,0 to 1 W,Computer - Thin Client,"Fujian Centerm Information Co., Ltd. - CENTERM",A610,A610,,43211506,LF,,
