Program,Activity,Presenting Organization,Project Title,URL,Text,Activity_Detail
EMT: Emerging Technologies,R&D - Building Energy Modeling ,LBNL,Empirical Validation-FLEXLAB,https://www.energy.gov/eere/buildings/empirical-validation-energy-simulation-flexlab ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Energy Modeling ,ORNL,Empirical Validation-FRP/iUNIT,https://www.energy.gov/eere/buildings/empirical-validation-energy-simulation-frp-iunit-and-nzertf ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Energy Modeling ,ANL,Empirical Validation-ETNA,https://www.energy.gov/eere/buildings/empirical-validation-energy-simulation-etna ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Energy Modeling ,PNNL,ASHRAE 229P,https://www.energy.gov/eere/buildings/ashrae-standard-229p-development ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Energy Modeling ,PNNL,Simplified PRM,https://www.energy.gov/eere/buildings/simplified-performance-rating-method-small-commercial-buildings ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Energy Modeling ,LBNL,LFRT2030/BEM-ED (Deep Design Data Portal [D3P] and BEMcyclopedia),https://www.energy.gov/eere/buildings/deep-design-data-d3-portal ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,PNNL,VOLTTRON,https://www.energy.gov/eere/buildings/volttron,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,LBNL,BOpTest,https://www.energy.gov/eere/buildings/boptest-building-operations-testing-framework,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,LBNL,OpenBuildingControl,https://www.energy.gov/eere/buildings/open-building-control-1,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,LBNL,Sensor Data Integration,https://www.energy.gov/eere/buildings/building-energy-model-sensor-data-integration-energy-flexible-buildings,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Energy Modeling ,LBNL,EnergyPlus 10X ,https://www.energy.gov/eere/buildings/downloads/energyplus-10x,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Controls ,PNNL,"Co-Design of HVAC Systems, Controls, and Sensing",https://www.energy.gov/eere/buildings/articles/co-design-hvac-systems-controls-and-sensing ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,Princeton University,Membrane Dehumidification as Façade-integrated Building Screens for Latent Cooling ,https://www.energy.gov/eere/buildings/articles/membrane-dehumidification-facade-integrated-building-screens-latent-cooling ,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,ORNL,Wall Embedded Multifunctional Heat Pump with Energy Storage Systems For Grid-Responsive and Weather-Transactive Controls ,https://www.energy.gov/eere/buildings/downloads/wall-embedded-multi-functional-heat-pump-energy-storage-systems-grid,Reviewer comment summaries and scores coming soon.,
EMT: Emerging Technologies,R&D - Building Equipment,AHRI,"Implementing Low Global Warming Potential (GWP) and Energy Efficient Refrigerant Technologies-Part II: Heat Transfer, Properties and Compatibility Studies",https://www.energy.gov/eere/buildings/downloads/implementing-low-global-warming-potential-gwp-and-energy-efficient,Reviewer comment summaries and scores coming soon.,
