Institution,City,State,Zip,Title,FY,SBIR Phase,Start,End,Amount,Program,Subtotal,FY Total,Latitude,Longitude
MOgene Green Chemicals, Saint Louis, MO,63132-2900,An optimized biocatalyst for efficient conversion of CH4 and CO2 into bioproducts,FY 16,1,6/13/2016,3/12/2017,"$149,893 ",WTE,,,38.627003,-90.199404
"NexTech Materials, Ltd. dba Nexceris, LLC", Lewis Center, OH,43035-9423,Conversion of Biogas to Liquid Fuels on Superior Catalysts,FY 16,1,6/13/2016,3/12/2017,"$150,000 ",WTE,"$1,645,291 ","$7,952,171 ",40.198388,-83.010099
"Shockkwave, LLC",Des Moines,IA,50317-2144,Fractionation and Dehydration of Existing Feedstocks for Biomass and Biopower Production,FY 17,2,7/31/2017,7/30/2019,"$1,000,000 ",FSL,,,41.600545,-93.609106
Glucan Biorenewables LLC,Madison,WI,53719-6006,High Purity Cellulose for Low-Cost Nanocellulose and Biofuel Production,FY 17,1,6/12/2017,5/11/2018,"$150,000 ",Nanocellulose,,,43.045313,-89.515378
InnoSense LLC,Torrance,CA,90505-5245,Supramolecular Nanocellulose Drug Excipients,FY 17,1,6/12/2017,3/11/2018,"$150,000 ",Nanocellulose,,,33.807882,-118.347957
Innovatech Engineering LLC,Tallahassee,FL,32317-7949,High-Performance Nanocellulose Composite for Aviation and Aerospace,FY 17,1,6/12/2017,4/15/2018,"$140,684 ",Nanocellulose,"$440,684 ",,30.470692,-84.116832
"KSE, Inc",Sunderland,MA,01375-9420,"Production of 2,5-Furandicarbolic Acid from Furfural Produced from a Wet Waste Stream",FY 17,1,2/21/2017,11/20/2017,"$150,000 ",WTE,,,42.466373,-72.579511
Nano Terra,Cambridge,MA,02138-1002,Efficient Anaerobic Membrane Bioreactors through Low-Fouling Membranes,FY 17,1,2/21/2017,11/20/2017,"$149,953 ",WTE,,,42.373616,-71.109734
Visolis,Berkeley,CA,94704-1910,Production of Lipids and Biodiesel from Organic Waste Streams,FY 17,1,2/21/2017,11/20/2017,"$150,000 ",WTE,,,37.871101,-122.267726
Opus 12 Incorporated,Berkeley,CA,94704-1517,Utilization of Waste CO2 to Make Renewable Chemicals and Fuels,FY 17,1,6/12/2017,3/11/2018,"$150,000 ",CO2,,,37.871101,-122.267726
"Reactive Innovations, LLC",Westford,MA,01886-3525,Novel Cold Plasma System for the Reaction of CO2 and Liquid Feed Streams for the Production of Value Added Products ,FY 17,1,6/12/2017,3/11/2018,"$149,999 ",CO2,,,42.57926,-71.43784
"Sustainable Innovations, LLC",East Hartford,CT,06108-3653,Renewables-Driven Production of Organic Acids from Industrial CO2 Waste Streams,FY 17,1,6/12/2017,3/11/2018,"$149,997 ",CO2,,,41.779799,-72.621365
"Visolis, Inc",Berkeley,CA,94704-1910,Production of High Value Products from Gaseous Waste Streams,FY 17,1,6/12/2017,3/11/2018,"$150,000 ",CO2,,,37.871101,-122.267726
"T2C Energy, LLC",Tampa,FL,34689,Conversion of Landfill Gas to Drop-in Renewable Fuel,FY 17,2,4/10/2017,4/9/2019,"$1,010,000 ",WTE,,,27.950575,-82.457178
Visolis,Cambridge,MA,94704-1910,Production of C5 Hydrocarbons from Waste Biomass,FY 17,2,4/10/2017,4/9/2019,"$999,909 ",WTE,,,37.871101,-122.267726
"CF Technologies, Inc.",Hyde Park,MA,02136-2075,Hydrothermal Liquefaction of Brown Grease from Wastewater Treatment Plants to Biodiesel using Supercritical Fluids.,FY 17,2,7/31/2017,7/30/2019,"$999,997 ",WTE,,,42.256529,-71.124056
Mainstream Engineering Corporation,Rockledge,FL,32955-5327,Hydrothermal Liquefaction of Food Waste and Remediation of Aqueous Byproducts,FY 17,2,7/31/2017,7/30/2019,"$999,993 ",WTE,,,28.31645,-80.726985
MOgene Green Chemicals,Saint Louis,MO,63132-2900,An Optimized Biocatalyst for Efficient Conversion of CH4 and CO2 into Bioproducts,FY 17,2,7/31/2017,7/30/2019,"$1,000,000 ",WTE,,,38.627003,-90.199404
"NexTech Materials, Ltd. dba Nexceris, LLC",Lewis Center,OH,43035-9423,Conversion of Biogas to Liquid Fuels on Superior Catalysts,FY 17,2,7/31/2017,7/30/2019,"$1,000,000 ",WTE,"$7,059,849 ","$8,500,533 ",40.198388,-83.010099
Environmental Fuel Research LLC ,Media,PA,19063-1630,Purification of Brown Grease for Fuel Production,FY 18,1,4/9/2018,11/8/2019,"$150,000 ",WTE,,,39.91734,-75.37863
Integrated Lipid Biofuels LLC,Pullman,WA,99163-3137,High Yield Conversion of Waste to Biochemicals with a Synthetic Biology Platform,FY 18,1,4/9/2018,4/8/2019,"$150,000 ",WTE,,,46.73431,-117.17757
Opus 12 Inc.,Berkeley,CA,94704-1517,Electrochemical conversion of CO2 to CO for use as a fermentation feedstock,FY 18,1,4/9/2018,5/8/2019,"$149,975 ",CO2,,,37.871101,-122.267726
Dioxide Materials,Boca Raton,FL,33431-6429,CO2 to Chemicals: A Hybrid Process for Bioproduct Synthesis From CO2 ,FY 18,1,4/9/2018,1/8/2019,"$150,000 ",CO2,,,26.38109,-80.09922
Precision Combustion Inc. ,North Haven,CT,06473-3106,Excess Electric Power-Driven Conversion of Carbon Dioxide to Chemicals,FY 18,1,4/9/2018,1/8/2019,"$149,871 ",CO2,,,41.36763,-72.8694
Emergy LLC,Lemont,IL,60439-4815,Industrial Process Optimization of High-Value Byproducts from Novel Fungi-Based Food and Beverage Wastewater Treatment Technology,FY 18,1,7/2/2018,1/1/2019,"$111,292 ",WTE,,,41.64937,-88.02384
Media and Process Technology Inc,Pittsburgh,PA,15238-1368,Ceramic Membrane Enhanced Two-Stage Hydrothermal Liquefaction for Simultaneous Biofuels and Biochemicals from Liquid Wastes,FY 18,1,7/2/2018,4/1/2019,"$149,993 ",WTE,,,40.54431,-79.82803
SarTec Corporation,Anoka,MN,55303-1601,Hydrothermal Catalysis to Flow Process Brown Grease into Biofuels and Biochemicals,FY 18,1,7/2/2018,7/1/2019,"$150,000 ",WTE,,,45.20562,-93.38075
"TDA Research, Inc.",Wheat Ridge,CO,80033-1916,Highly Efficient Modular Anaerobic Membrane Bioreactor (AnMBR) for Biofuel Production from Wet Organic Waste Streams,FY 18,1,7/2/2018,4/1/2019,"$149,085 ",WTE,,,39.766098,-105.077206
Bio-Missions LLC,Reynoldsburg,OH,43068-9708,An Integrated Process for Butanol Production from Cellulosic Biomass and CO2 Using Engineered Clostridia in a Linear Immobilized Bioreactor,FY 18,1,7/2/2018,7/1/2019,"$150,000 ",CO2,,,39.98354,-82.79336
"Faraday Technology, Inc.",Englewood,OH,45315-8983,Scaling Bioelectrochemical Biomass Conversion Technologies,FY 18,1,7/2/2018,4/1/2019,"$150,000 ",CO2,,,39.877555,-84.302167
"Industrial Microbes, Inc.",Emeryville,CA,94608-2924,High-Efficiency Conversion of Biomass into Chemicals using Fermentation and Electroreduction,FY 18,1,7/2/2018,7/1/2018,"$150,000 ",CO2,,,37.831316,-122.285247
Lygos,Berkeley,CA,94710-1413,Two-phase Production of an Organic Acid with CO2 Sequestration,FY 18,1,7/2/2018,3/1/2019,"$150,000 ",CO2,,,37.871101,-122.267726
"Global Algae Innovations, Inc.",Lihue,HI,96766-2037,Development of Breeding Strategies for Nitzschia sp.,FY 18,1,7/2/2018,4/1/2019,"$146,436 ",Algae,,,21.96903,-159.38424
"Global Algae Innovations, Inc.",Santee,CA,92071-4521,Development of a breeding system in Chlamydomonas moewusii for improved production strains,FY 18,1,7/2/2018,4/1/2019,"$146,055 ",Algae,,,21.96903,-159.38424
MicroBio Engineering,San Luis Obispo,CA,93401-7574,Domestication of the microalga Scenedesmus obliquus for biomass feedstock production,FY 18,1,7/2/2018,4/1/2019,"$149,999 ",Algae,,,37.871593,-122.272747
"Global Algae Innovations, Inc.",Lihue,HI,96766-2037,Zobi&#174; based processes for ultra-low energy algal harvesting and dewatering,FY 18,1,7/2/2018,4/1/2019,"$145,194 ",Algae,,,21.96903,-159.38424
Molecule Works Inc.,Richland,WA,99354-5310,Concentration and dewatering of micro-algae cultures with high throughput ceramic membranes,FY 18,1,7/2/2018,4/1/2019,"$150,000 ",Algae,,,46.32096,-119.30099
"KSE, Inc",Sunderland,MA,01375-9420,"Production of 2,5-Furandicarbolic Acid from Furfural Produced from a Wet Waste Stream",FY 18,2,8/27/2018,8/26/2020,"$1,010,000 ",WTE,,,42.466373,-72.579511
InnoSense LLC,Torrance,CA,90505-5245,Supramolecular Nanocellulose Drug Excipients,FY 18,2,8/27/2018,8/26/2020,"$1,010,000 ",Nanocellulose,,,33.807882,-118.347957
Opus 12 Incorporated,Berkeley,CA,94704-1517,Utilization of waste CO2 to make renewable chemicals and fuels,FY 18,2,8/27/2018,8/26/2020,"$1,000,000 ",CO2,,,37.871101,-122.267726
"Sustainable Innovations, LLC",East Hartford,CT,06108-3653,Formic Acid,FY 18,2,8/27/2018,8/26/2020,"$999,986 ",CO2,,,41.779799,-72.621365
"Visolis, Inc.",Berkeley,CA,94704-1910,Production of High Value Products from Gaseous Waste Streams,FY 18,2,8/27/2018,8/26/2020,"$1,010,000 ",CO2,,,37.871101,-122.267726
"Manta Biofuel, LLC",Reisterstown,MD,21136-1716,Development of a High Throughput Algal Dewatering System Using Magnetic Particles,FY 18,2,8/27/2018,8/26/2020,"$1,000,000 ",Algae,,,39.469549,-76.829421
