ProjectID,Project,Fuel,Market_Sector,Technology_Prime_Mover,Thermal_Energy_Use,Profile,City,State,CHP_TAP,SystemSize,YearInstalled,NAICS_Code,Status,Comment
467,Columbia Energy Center,Natural Gas,Utilities,Combined Cycle Gas Turbine | Combustion Turbine | Steam Turbine,Process Heat,http://www.chptap.org/Data/projects/columbia_energy_center-Project_Profile.pdf,Gaston,SC,Southeast,455000,2004,221112 Fossil Fuel Electric Power Generation,1,Updated link per SE CHP TAP
468,Shands Hospital,Natural Gas,District Energy | Healthcare ,Combustion Turbine,Space Cooling | Space Heating,http://www.chptap.org/Data/projects/Shands_Hospital-CHP_Project_Profile.pdf,Gainesville,FL,Southeast,4300,2009,622110 General Medical and Surgical Hospitals,1,
473,UNC Chapel Hill,Coal | Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Steam Turbine,Space Cooling | Space Heating | Water Heating,http://www.chptap.org/Data/projects/UNC_Chapel_Hill-CHP_Project_Profile.pdf,Chapel Hill,NC,Southeast,32000,1992,"611310 Colleges, Universities and Professional Schools",1,
474,Alaska Village Electric Cooperative - Grayling,Fuel Oil,Utilities,Reciprocating Engine,Space Heating,http://www.chptap.org/Data/projects/GRAYLING-Project_Profile.pdf,Grayling,AK,Northwest,546,1999,221112 Fossil Fuel Electric Power Generation,1,
477,Kennecott Utah Copper Refinery,Natural Gas,Metals,Combustion Turbine,Process Heat,http://www.chptap.org/Data/projects/Kennecott_Utah_Copper_Refinery-Project_Profile.pdf,Magna,UT,Upper-West,7600,2010,331411 Primary Smelting and Refining of Copper,1,
481,Kennecott Utah Copper Smelter,Waste Heat,Metals,Steam Turbine,Electricity | None,http://www.chptap.org/Data/projects/Kennecott_Utah_Copper_Smelter-Project_Profile.pdf,Magna,UT,Upper-West,32000,1995,331411 Primary Smelting and Refining of Copper,1,
482,CF Industries,Natural Gas,Manufacturing ,Combustion Turbine,Process Heat,http://www.chptap.org/Data/projects/cf-industries_yazoo-Project_Profile.pdf,Yazoo City,MS,Southeast,20000,1984,325311 Nitrogenous Fertilizer Manufacturing,1,
485,Vanderbilt University,Coal | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine | Steam Turbine,Space Cooling | Space Heating | Steam,http://www.chptap.org/Data/projects/vanderbilt-Project_Profile.pdf,Nashville,TN,Southeast,17000,1925,"611310 Colleges, Universities and Professional Schools",1,
493,Simpson Tacoma Kraft,Biomass,Pulp and Paper ,Steam Turbine,Process Heat,http://www.chptap.org/Data/projects/Simpson%20Tacoma%20Kraft-Project_Profile.pdf,Tacoma,WA,Northwest,60000,2009,322121 Paper Mills,1,
494,Finley Buttes Regional Landfill,Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Water Heating,http://www.chptap.org/Data/projects/FinleyButtesLandfill-Project_Profile.pdf,Boardman,OR,Northwest,4800,2007,562212 Solid Waste Landfills,1,
496,"Ergon, Inc.",Natural Gas,Refineries,Combustion Turbine,Process Heat,http://www.chptap.org/Data/projects/ergon-Project_Profile.pdf,Vicksburg,MS,Southeast,4720,1994,324110 Petroleum Refineries,1,Updated link to TAPs url
497,University of Utah,Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Heating | Water Heating,http://www.chptap.org/Data/projects/University_of_Utah-Project_Profile.pdf,Salt Lake City,UT,Upper-West,6500,2008,"611310 Colleges, Universities and Professional Schools",1,
499,Houston Methodist Hospital,Natural Gas,Healthcare ,Combustion Turbine,Space Cooling | Space Heating | Steam,http://www.chptap.org/Data/projects/Methodist_Hospital_Houston-Project_Profile.pdf,Houston,TX,Southcentral,4600,2011,622110 General Medical and Surgical Hospitals,1,
500,"University of Texas, Austin",Natural Gas,District Energy | Universities and Colleges,Combined Cycle Gas Turbine | Combustion Turbine | Steam Turbine,Space Cooling | Space Heating | Water Heating,http://www.chptap.org/Data/projects/University_of_Texas-Project_Profile.pdf,Austin,TX,Southcentral,137000,1929,"611310 Colleges, Universities and Professional Schools",1,
501,Snowbird Ski and Summer Resort,Natural Gas,Hotels,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,http://www.chptap.org/Data/projects/Snowbird-Project_Profile.pdf,Snowbird,UT,Upper-West,2000,1987,721110 Hotels and Motels,1,
502,Bradley Airport Energy Center,Natural Gas,Transportation,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,http://www.chptap.org/Data/projects/BradleyAirportpp.pdf,Windsor Locks,CT,New England,5800,2002,488111 Air Traffic Control,1,Fixed broken link to project profile
503,Cooley Dickinson Hospital,Biomass,Healthcare ,Steam Turbine,Process Heat | Space Cooling | Space Heating | Water Heating,http://www.chptap.org/Data/projects/CooleyDickinsonCaseStudy1.pdf,Northampton,MA,New England,500,2006,622110 General Medical and Surgical Hospitals,1,
504,Frito-Lay Killingly,Natural Gas,Manufacturing ,Combustion Turbine,Process Heat,http://www.energy.gov/sites/prod/files/2015/08/f26/PepsiCo%20Frito-Lay%20CHP%20Case%20Study_07.02.15.pdf,Killingly,CT,New England,4500,2009,311919 Other Snack Food Manufacturing,1,
505,University of Massachusetts,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine | Steam Turbine,Space Cooling | Space Heating,http://www.chptap.org/Data/projects/UMASSCaseStudy1.pdf,Amherst,MA,New England,16000,2009,"611310 Colleges, Universities and Professional Schools",1,
506,Smith College Energy Center,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Space Cooling | Space Heating,http://www.chptap.org/Data/projects/SmithCollege3.5MWCHPApplication1.pdf,Northampton,MA,New England,3500,2008,"611310 Colleges, Universities and Professional Schools",1,
507,Seaman Paper,Biomass,Pulp and Paper ,Steam Turbine,Process Heat,http://www.chptap.org/Data/projects/Seamanpaper1.pdf,Otter River,MA,New England,283,2009,322121 Paper Mills,1,
509,San Diego VA Hospital,Natural Gas,Healthcare ,Combustion Turbine,Process Heat | Space Cooling | Space Heating,http://www.chptap.org/Data/projects/san-diego-va-Project_Profile.pdf,San Diego,CA,Western,4600,2005,622110 General Medical and Surgical Hospitals,1,
510,Smithfield Gardens Assisted Living Community,Natural Gas,Healthcare ,Reciprocating Engine,Space Cooling | Space Heating | Water Heating,http://www.chptap.org/Data/projects/SmithfieldGardensCaseStudy1.pdf,Seymour,CT,New England,75,2006,623311 Continuing Care Retirement Communities,1,
511,Burlingame Wastewater Treatment Plant,Biogas | Natural Gas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester | Process Heat,http://www.chptap.org/Data/projects/burlingame-wastewater-treatment-Project_Profile.pdf,Burlingame,CA,Western,177,2006,221320 Sewage Treatment Facilities,1,
515,Thermal Energy Corporation (TECO) CHP Project,Natural Gas,District Energy | Healthcare ,Combustion Turbine | Steam Turbine,Dehumidification | Electricity | Space Cooling | Space Heating | Steam | Water Heating,http://www.chptap.org/Data/projects/Texas_Medical_Center-Project_Profile.pdf,Houston,TX,Southcentral,48000,2010,622110 General Medical and Surgical Hospitals,1,Need to get updated URL from C. Brinker
516,Southside Water Reclamation Plant,Biogas | Natural Gas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester | Space Heating,http://www.chptap.org/Data/projects/Southside_Water_Reclamation-Project_Profile.pdf,Albuquerque,NM,Southcentral,6600,1986,221320 Sewage Treatment Facilities,1,
518,James H. Quillen VA Medical Center,Biogas,Healthcare ,Reciprocating Engine,Space Cooling | Space Heating | Steam,http://www.chptap.org/Data/projects/james_quillen_medical_center-project_profile1.pdf,Mountain Home,TN,Southeast,3200,2001,622110 General Medical and Surgical Hospitals,1,
519,EMWD Microturbine Energy System,Natural Gas,District Energy | Office Buildings and Skyscrapers | Utilities | Waste and Wastewater Treatment ,Microturbine,None | Space Cooling,http://www.chptap.org/Data/projects/moreno-valley-Project_Profile.pdf,Riverside County,CA,Western,480,2002,221310 Water Supply and Irrigation Systems,1,
520,Kaiser Medical Center Vacaville,Natural Gas,Healthcare ,Microturbine,Space Heating | Water Heating,http://www.chptap.org/Data/projects/kaiser-medical-center-vacaville-Project_Profile.pdf,Vacaville,CA,Western,750,2009,622110 General Medical and Surgical Hospitals,1,
523,Rochester Airport,Natural Gas,Transportation,Reciprocating Engine,Space Cooling | Space Heating,http://www.chptap.org/Data/projects/RochesterAirportCaseStudy_Final.pdf,Rochester,NY,New York-New Jersey,1500,2002,488111 Air Traffic Control,1,
524,Simonds International,Natural Gas,Manufacturing ,Reciprocating Engine,Process Heat | Space Cooling | Space Heating,http://www.chptap.org/Data/projects/SimondsCaseStudy_Final1.pdf,Fitchburg,MA,New England,1800,2011,332216 Saw Blade and Handtool Manufacturing,1,
525,Syracuse University,Natural Gas,Data Centers | Universities and Colleges,Microturbine,Space Cooling | Space Heating,http://www.chptap.org/Data/projects/SyracuseCaseStudy_Final.pdf,Syracuse,NY,New York-New Jersey,780,2009,"611310 Colleges, Universities and Professional Schools",1,
526,Gundersen Health System: Onalaska Campus,Biogas,Healthcare ,Reciprocating Engine,Space Heating | Water Heating,http://www.chptap.org/Data/projects/GundersenLutheranOnalaska1.pdf,Onalaska,WI,Midwest,1137,2012,622110 General Medical and Surgical Hospitals,1,
527,North Carolina State University,Fuel Oil | Natural Gas,District Energy | Universities and Colleges,Combustion Turbine,Electricity | Steam,http://www.chptap.org/Data/projects/ncsu-Project_Profile.pdf,Raleigh,NC,Southeast,11000,2012,"611310 Colleges, Universities and Professional Schools",1,
529,East Bay Municipal Utility District WWTP,Biogas,Utilities | Waste and Wastewater Treatment ,Combustion Turbine | Reciprocating Engine,Anaerobic Digester,http://www.chptap.org/Data/projects/ebmud-wwtp.pdf,Oakland,CA,Western,11000,1985,221320 Sewage Treatment Facilities,1,
530,Port Arthur Steam Energy / Oxbow Corp.,Waste Heat,Manufacturing ,Steam Turbine,Electricity | Process Heat | Steam,http://www.chptap.org/Data/projects/Port_Arthur_Steam-Project_Profile.pdf,Port Arthur,TX,Southcentral,5000,2005,324199 Other Petroleum and Coal Products Manufacturing,1,
531,Mississippi Baptist Medical Center,Natural Gas,Healthcare ,Combustion Turbine,Process Heat | Space Cooling | Space Heating | Water Heating,http://www.chptap.org/Data/projects/ms_baptist_medical_center-Project_Profile.pdf,Jackson,MS,Southeast,4600,1991,622110 General Medical and Surgical Hospitals,1,
532,Allentown Wastewater Treatment Plant,Biogas,Waste and Wastewater Treatment ,Microturbine,Anaerobic Digester,http://www.chptap.org/Data/projects/allentown_wwtp_project_profile1.pdf,Allentown,PA,Mid-Atlantic,390,2001,221320 Sewage Treatment Facilities,1,
533,Evergreen Community Power Plant,Biomass,Pulp and Paper ,Steam Turbine,Steam,http://www.chptap.org/Data/projects/evergreen_project_profile1.pdf,Reading,PA,Mid-Atlantic,33000,2008,322121 Paper Mills,1,
534,St. Helena Hospital,Natural Gas,Healthcare ,Fuel Cell,Space Heating | Water Heating,http://www.chptap.org/Data/projects/st-helena-hospital.pdf,St. Helena,CA,Western,400,2010,622110 General Medical and Surgical Hospitals,1,
535,Danville Sanitary District,Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester | Space Heating,http://www.chptap.org/Data/projects/Danville-Project_Profile.pdf,Danville,IL,Midwest,150,2013,221320 Sewage Treatment Facilities,1,
536,Downers Grove Sanitary District,Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Anaerobic Digester,http://www.chptap.org/Data/projects/DownersGrove-Project_Profile.pdf,Downers Grove,IL,Midwest,280,2014,221320 Sewage Treatment Facilities,1,
537,Freres Lumber,Biomass,Forest Products,Steam Turbine,Process Heat,http://www.chptap.org/Data/projects/FreresLumber-Project_Profile.pdf,Lyons,OR,Northwest,10500,2007,321113 Sawmills,1,
538,Budd Inlet Wastewater Treatment Facility (LOTT),Biogas,Waste and Wastewater Treatment ,Reciprocating Engine,Process Heat,http://www.chptap.org/Data/projects/BuddInletWWTF-Project_Profile.pdf,Olympia,WA,Northwest,2000,2007,221320 Sewage Treatment Facilities,1,
539,Cox Interior,Biomass,Manufacturing ,Steam Turbine,Process Heat,http://www.chptap.org/Data/projects/cox_interior-Project_Profile.pdf,Campbellsville,KY,Southeast,5000,1994,321918 Other Millwork,1,
540,Eastman's Tennessee Operations,Coal | Natural Gas,Manufacturing ,Steam Turbine,Process Heat | Space Heating,http://www.chptap.org/Data/projects/eastman-Project_Profile.pdf,Kingsport,TN,Southeast,200000,1930,325211 Plastics Material and Resin Manufacturing,1,
